Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Vi Vi	6	15	81%	3	3	50%	4.5	3.7	1.50	33:54	6.5	325	384	-2.3	300	18
Varus Varus	8	10	73%	3	5	38%	3.8	2.9	1.13	34:00	9.2	767	414	5.6	180	-20
Kalista Kalista	3	14	71%	2	1	67%	7.0	4.1	1.00	29:04	9.7	427	466	9.3	603	-120
Azir Azir	11	8	70%	6	5	55%	2.5	4.1	1.45	32:18	8.9	654	398	3	28	45
Rumble Rumble	6	11	69%	5	1	83%	9.0	4.5	1.17	31:43	8.3	655	427	-1.3	80	221
Yone Yone	2	14	65%	2	0	100%	2.3	3.8	1.50	46:44	7.9	695	412	9.5	183	468
Jayce Jayce	5	10	63%	1	4	20%	1.7	3.0	1.00	35:23	8.7	852	400	3.4	-153	-617
Gwen Gwen	5	9	58%	2	3	40%	3.1	3.6	1.00	37:44	8.6	646	412	-0.6	77	169
Xin Zhao Xin Zhao	12	3	57%	4	8	33%	1.7	5.3	1.33	31:59	6.5	347	324	-4.7	-283	-380
Taliyah Taliyah	7	7	54%	3	4	43%	3.3	4.7	1.29	33:17	8.7	738	401	-3.9	35	-49
Ezreal Ezreal	8	5	52%	6	2	75%	5.7	7.6	1.13	32:15	9.2	834	430	-6.6	-523	-34
Poppy Poppy	2	11	50%	2	0	100%	2.8	7.2	2.00	37:11	4.8	349	311	-6	-494	-680
Miss Fortune Miss Fortune	9	5	49%	5	4	56%	3.5	6.8	1.56	31:53	9.6	541	430	6.9	348	258
Nautilus Nautilus	3	8	43%	1	2	33%	3.2	8.6	1.67	30:50	1.1	228	239	5.7	278	1078
Sejuani Sejuani	4	7	43%	3	1	75%	14.0	3.1	1.50	35:05	6.4	481	357	2.5	-80	309
Skarner Skarner	5	6	41%	3	2	60%	6.2	4.2	1.60	30:24	5.9	349	341	-14	-174	-418
Corki Corki	7	3	37%	3	4	43%	5.1	7.0	1.43	33:46	8.8	818	421	0	36	178
Rell Rell	7	2	35%	6	1	86%	2.9	4.5	1.14	36:31	1.0	188	244	-1.4	-123	-113
Maokai Maokai	3	6	35%	2	1	67%	4.5	4.3	1.67	31:02	3.9	457	289	-7.7	-196	-452
Braum Braum	6	3	35%	3	3	50%	5.2	8.0	1.33	34:25	1.0	187	241	2.7	17	-25
Rakan Rakan	8	2	35%	3	5	38%	2.9	7.5	1.50	32:37	1.1	129	237	4	98	121
Alistar Alistar	7	2	33%	3	4	43%	2.7	8.5	1.29	34:06	0.9	147	236	-2.7	-155	-238
Ashe Ashe	3	5	31%	0	3	0%	3.5	7.4	1.33	38:55	8.3	837	391	10.3	452	331
Ambessa Ambessa	2	6	31%	2	0	100%	9.5	8.7	1.50	29:13	8.7	733	426	10	456	294
Naafiri Naafiri	5	2	29%	2	3	40%	5.6	3.5	1.00	32:46	7.0	586	374	8.2	307	296
Pantheon Pantheon	2	4	25%	1	1	50%	3.8	6.3	1.00	29:46	4.4	331	323	2	524	231
Sion Sion	6	0	25%	4	2	67%	5.8	-	1.00	31:07	8.0	542	383	-4	269	471
