Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Varus Varus	11	19	78%	6	5	55%	5.4	3.1	1.27	33:40	9.1	765	424	1.5	238	46
Kalista Kalista	4	22	70%	2	2	50%	4.0	3.2	1.00	28:35	9.5	358	440	7.5	616	56
Miss Fortune Miss Fortune	13	9	51%	8	5	62%	4.4	7.3	1.54	32:21	9.9	599	444	6.5	238	174
Ezreal Ezreal	13	6	46%	7	6	54%	4.7	7.8	1.31	33:13	9.4	802	423	-3.5	-307	-20
Ashe Ashe	5	10	37%	2	3	40%	3.7	7.6	1.60	35:21	8.7	755	415	4.6	-17	-109
Kaisa Kaisa	5	5	24%	1	4	20%	2.7	8.4	1.40	33:40	9.6	628	430	-6	-72	170
Corki Corki	6	4	24%	2	4	33%	3.9	7.0	1.50	35:02	8.7	868	420	-3.2	-193	164
Xayah Xayah	4	5	21%	2	2	50%	4.0	9.2	1.75	31:35	10.0	753	437	0	78	-16
Jhin Jhin	3	3	12%	1	2	33%	3.4	8.0	2.33	32:55	8.0	589	383	-4.3	-606	-694
Ziggs Ziggs	2	1	6%	1	1	50%	1.8	10.0	2.00	34:32	9.6	644	389	8.5	-48	-10
Sivir Sivir	2	1	5%	1	1	50%	2.4	9.0	2.50	30:37	10.2	607	438	-3	-78	-780
Tristana Tristana	2	0	4%	1	1	50%	5.0	-	1.50	31:38	8.7	859	449	-20	452	100
Zeri Zeri	2	0	4%	1	1	50%	4.8	-	1.50	40:02	10.8	621	463	7.5	-770	-68
Jinx Jinx	1	1	4%	1	0	100%	8.0	9.0	3.00	28:35	11.0	399	507	-3	409	283
KogMaw KogMaw	1	0	1%	1	0	100%	8.0	-	3.00	30:52	8.0	1142	461	-29	-594	-651
