Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Vi Vi	10	21	78%	4	6	40%	3.7	3.5	1.40	34:33	6.6	317	371	-2.5	398	137
Poppy Poppy	2	16	46%	2	0	100%	2.8	6.9	2.00	37:11	4.8	349	311	-6	-494	-680
Xin Zhao Xin Zhao	14	4	44%	6	8	43%	2.2	6.0	1.36	33:01	6.5	364	333	-2.2	-261	-272
Sejuani Sejuani	9	8	43%	5	4	56%	5.9	3.5	1.33	32:48	6.3	410	337	0.6	-199	-62
Skarner Skarner	8	9	40%	4	4	50%	4.7	3.8	1.75	30:10	5.8	333	335	-15.2	-353	-400
Maokai Maokai	5	9	33%	3	2	60%	2.9	3.4	2.00	32:23	5.8	520	313	-8.6	-493	-577
Naafiri Naafiri	7	4	28%	3	4	43%	5.5	4.5	1.14	31:37	7.1	520	374	6.7	163	191
Pantheon Pantheon	1	6	19%	1	0	100%	-	7.3	1.00	27:23	8.1	365	431	11	700	940
Ivern Ivern	2	4	14%	1	1	50%	9.0	3.8	2.00	35:41	4.6	253	299	-30	-1050	-988
Nocturne Nocturne	2	3	12%	1	1	50%	3.5	1.7	1.50	39:33	7.0	532	370	35	620	1594
Wukong Wukong	3	2	12%	1	2	33%	2.6	5.5	1.33	35:08	6.3	360	337	-5	-27	-470
Zyra Zyra	1	3	9%	1	0	100%	-	3.7	2.00	27:28	8.3	525	444	46	1303	1456
Lillia Lillia	2	1	6%	2	0	100%	32.0	5.0	2.00	30:57	7.9	713	451	21.5	782	617
Nidalee Nidalee	2	1	5%	1	1	50%	3.5	1.0	2.00	29:40	7.3	375	368	17.5	656	1060
Dr. Mundo Dr. Mundo	1	0	3%	0	1	0%	2.5	-	1.00	40:28	6.8	601	340	8	528	825
Jarvan IV Jarvan IV	1	0	3%	1	0	100%	13.0	-	1.00	36:12	6.2	267	354	-7	103	-379
Udyr Udyr	1	0	3%	1	0	100%	-	-	1.00	34:50	8.6	607	462	18	724	1742
Nunu Nunu	1	0	1%	0	1	0%	3.0	-	2.00	43:53	5.8	433	365	14	796	520
Lee Sin Lee Sin	1	0	1%	0	1	0%	0.5	-	3.00	28:35	6.9	264	339	5	-259	147
Viego Viego	1	0	1%	0	1	0%	2.5	-	3.00	32:51	6.9	297	335	13	754	694
