Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Rakan Rakan	12	7	45%	6	6	50%	3.7	8.0	1.42	33:19	1.1	134	243	2.8	124	43
Alistar Alistar	11	7	43%	5	6	45%	2.8	8.9	1.45	34:46	0.9	144	238	-1.2	-86	10
Nautilus Nautilus	6	10	41%	1	5	17%	1.9	8.7	1.33	31:22	1.1	200	227	2.5	42	312
Rell Rell	8	5	34%	7	1	88%	3.3	5.6	1.13	36:03	1.0	181	245	-1.5	-118	-81
Braum Braum	10	4	32%	4	6	40%	4.5	7.8	1.50	33:47	0.9	169	238	1.3	13	-176
Maokai Maokai	1	9	27%	1	0	100%	-	3.4	1.00	34:50	0.8	239	262	-7	389	39
Neeko Neeko	5	5	26%	3	2	60%	2.9	9.8	1.20	30:58	1.1	341	245	-0.6	-76	292
Leona Leona	7	3	20%	2	5	29%	1.6	7.3	1.71	33:28	1.1	189	231	6.4	-84	87
Pantheon Pantheon	1	6	19%	0	1	0%	1.0	7.3	1.00	32:08	0.7	297	214	-7	349	-478
Renata Glasc Renata Glasc	3	2	10%	2	1	67%	2.3	8.0	2.00	33:18	0.9	246	239	-7.7	-433	13
Karma Karma	1	3	9%	1	0	100%	-	7.0	3.00	28:42	0.8	214	254	-3	719	-170
Bard Bard	4	0	6%	1	3	25%	1.9	-	2.25	29:37	0.7	246	228	-10.2	-123	-262
Seraphine Seraphine	1	0	3%	1	0	100%	-	-	1.00	27:08	1.3	185	280	2	179	173
Pyke Pyke	2	0	2%	1	1	50%	6.7	-	2.50	31:11	1.1	286	272	-1	411	-438
Lulu Lulu	1	0	1%	1	0	100%	-	-	2.00	32:31	0.9	128	245	15	66	578
Thresh Thresh	1	0	1%	1	0	100%	14.0	-	3.00	28:35	1.3	171	316	-12	261	-422
