Champion	Picks	Bans	PrioScore	Wins	Losses	Winrate	KDA	Avg BT	Avg RP	GT	CSM	DPM	GPM	CSD@15	GD@15	XPD@15
Rumble Rumble	9	16	65%	6	3	67%	4.6	4.5	1.22	31:39	8.2	642	403	-2.2	-236	32
Jayce Jayce	7	17	62%	2	5	29%	1.7	3.8	1.29	33:42	8.8	806	403	5.7	32	-387
Gwen Gwen	8	15	60%	4	4	50%	3.0	3.9	1.25	33:54	8.7	607	418	-1.4	48	28
Azir Azir	1	15	43%	1	0	100%	6.0	4.5	1.00	42:00	8.5	947	487	15	-382	192
Ambessa Ambessa	7	6	30%	5	2	71%	3.9	8.7	1.71	31:47	8.6	665	413	9.3	271	420
Renekton Renekton	4	6	21%	2	2	50%	4.0	7.5	2.50	33:09	8.8	500	413	18.8	1053	384
Sion Sion	7	1	20%	5	2	71%	5.8	5.0	1.14	31:00	7.9	522	375	-7.1	64	333
Jax Jax	7	2	18%	5	2	71%	2.8	7.5	1.71	31:41	8.3	479	416	-2.1	200	115
Aurora Aurora	2	4	16%	1	1	50%	3.8	4.8	1.00	32:14	7.1	516	341	-4.5	-42	-90
Galio Galio	3	2	14%	1	2	33%	2.1	7.5	1.00	32:29	7.9	590	363	2.7	-132	-5
Gnar Gnar	3	3	14%	2	1	67%	3.5	8.3	1.67	42:04	8.3	873	428	10.7	384	230
KSante KSante	1	3	11%	0	1	0%	0.3	1.3	1.00	27:22	7.3	300	302	-14	-1291	-1288
Yorick Yorick	3	2	9%	1	2	33%	2.1	6.5	2.33	28:54	8.9	760	417	8.7	212	323
Fiora Fiora	1	1	5%	0	1	0%	0.7	5.0	1.00	33:19	8.9	492	391	-27	-638	-1146
Yasuo Yasuo	1	1	5%	0	1	0%	1.5	9.0	1.00	40:28	9.1	303	384	-6	-73	389
Camille Camille	2	0	5%	1	1	50%	2.7	-	1.00	33:46	7.8	437	384	-19	-571	-900
Aatrox Aatrox	4	0	5%	0	4	0%	0.8	-	2.25	34:30	7.6	412	336	-3.5	-644	-330
Nidalee Nidalee	1	1	4%	0	1	0%	1.0	1.0	3.00	27:25	8.2	432	378	-9	-243	-1055
Anivia Anivia	1	0	1%	0	1	0%	2.6	-	2.00	39:22	8.7	838	435	17	953	262
Ornn Ornn	1	0	1%	1	0	100%	7.5	-	2.00	45:34	6.4	389	343	-35	-1130	-459
Malphite Malphite	1	0	1%	0	1	0%	0.3	-	3.00	28:42	7.1	412	285	-30	-1232	-651
